GEOID,medianAge,population,noEducation,highschoolEducation,gedEducation,associatesEducation,bachelorsEducation,masterEducation,professionalEducation,doctorateEducation,medianHHIncome,rentAsPercIncome
290950158001,30.2,963,0,72,0,39,351,147,23,22,80292,21.1
290950038001,32.9,745,0,59,43,48,50,7,7,0,26250,42.4
290950158002,31.5,498,0,74,38,29,76,54,5,0,46667,27.5
290950159001,33.8,1799,3,282,145,30,210,105,49,4,46620,29.9
290950160001,36,917,84,177,18,21,21,0,0,0,23107,31.1
290950160002,36.6,766,4,140,19,49,7,11,0,0,28894,50
290950161001,48.2,1310,0,342,40,49,71,36,0,0,30545,27.3
290950161002,47.6,556,0,78,9,85,18,28,28,0,21066,38.4
290950162001,43.8,498,3,124,20,33,25,4,0,16,31094,50
290950162002,41.1,694,15,160,12,13,5,14,0,0,22083,35.7
290950163001,25,1103,12,93,40,27,8,0,0,0,28729,34.7
290950163002,27,1426,35,172,0,32,60,49,0,0,28162,33.5
290950038002,30.8,1076,1,125,51,50,13,3,0,0,21969,48.3
290950164001,42.3,454,21,108,20,33,0,12,0,0,24125,39.8
290950164002,28.2,1701,6,243,24,65,11,26,5,4,20764,45.6
290950165001,33.9,700,0,139,30,2,25,22,0,0,28536,47.7
290950165002,53.8,565,15,135,6,17,33,26,0,0,24583,39
290950165003,42.9,297,0,87,4,0,3,18,0,0,23359,50
290950166001,48.9,859,0,167,19,28,34,6,0,0,16521,39.9
290950166002,34.1,617,9,115,11,14,47,0,0,11,15408,50
290950167001,38.2,892,0,178,37,73,129,86,23,0,32344,36.2
290950167002,35.9,1327,41,283,87,18,299,70,0,10,24103,27.5
290950167003,40,632,0,58,40,48,193,22,7,0,37794,24.2
290950043001,27,1080,1,120,54,13,129,31,23,0,16000,49.6
290950168001,32.3,701,50,24,27,0,146,74,11,27,44205,28.4
290950168002,27.9,568,0,34,30,0,268,0,0,13,72885,18.7
290950168003,29.7,1069,0,164,27,48,161,128,18,0,32564,22.7
290950168004,28.3,1330,0,35,53,22,422,81,59,5,41917,26.6
290950169001,33.9,765,21,136,53,10,39,10,0,0,12804,50
290950169002,38.3,583,0,122,5,0,91,0,0,0,48625,29.8
290950169003,37.9,744,8,175,32,9,6,33,0,0,27526,30.8
290950170001,46.1,931,33,182,26,5,64,33,0,0,36100,31.7
290950170002,32.5,1356,18,316,29,43,18,42,0,0,23105,36.3
290950171001,46.2,962,16,215,54,97,86,6,0,11,36875,24.1
